"lot_category","lot_id","die_id","sequence_id","production_month","month_label","parameter","parameter_display","unit","current_limit","recommended_limit","recommendation_delta","recommendation_delta_percent","max_eligible_simulated_yield","ml_score","ml_rank","model_used","model_expected","decision","policy_reason","yield_tie","tie_breaker","selection_text","explanation_text","why_selected","safety_status","evidence_origin","is_primary_die","used_uploaded_measurements"
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","Feb 2026","thermal","THERMAL_C","°C",60,92,32,53.333333333333336,1,0.9083572626113892,1,"core_gru_temporal_v1","core_gru_temporal_v1","RECOMMEND","max_simulated_yield_selected",true,"ML rank","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. 92.0 °C passed the required safety checks. 92.0 °C was selected for the highest simulated yield among eligible candidates. Change DTL limit from 60.0 °C to 92.0 °C. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=60.0, recommended=92.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-02. Simulator objective_score is not production reliability or true optimality.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 92.0 °C had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-02",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","Feb 2026","VMIN","VMIN","V",0.85,1,0.15000000000000002,17.647058823529417,0.5833333333333334,0.38601407408714294,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 1.0 V passed the required safety checks. 1.0 V was selected for the highest simulated yield among eligible candidates. Change DTL limit from 0.85 V to 1.0 V. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=0.85, recommended=1.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-02. Simulator objective_score is not production reliability or true optimality.","1.0 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.5833333333333334) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-02",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","Feb 2026","VMAX","VMAX","V",1.15,1.05,-0.09999999999999987,-8.695652173913032,0.375,0.13686791062355042,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 1.05 V passed the required safety checks. 1.05 V was selected for the highest simulated yield among eligible candidates. Change DTL limit from 1.15 V to 1.05 V. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=1.15, recommended=1.05. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-02. Simulator objective_score is not production reliability or true optimality.","1.05 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.375) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-02",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","Feb 2026","IDDQ","IDDQ","uA",50,100,50,100,0.9583333333333334,0.7807084321975708,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 100.0 uA passed the required safety checks. 100.0 uA was selected for the highest simulated yield among eligible candidates. Change DTL limit from 50.0 uA to 100.0 uA. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=50.0, recommended=100.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-02. Simulator objective_score is not production reliability or true optimality.","100.0 uA was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.9583333333333334) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-02",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","Feb 2026","SUPPLY_CURRENT","SUPPLY_CURRENT","mA",120,200,80,66.66666666666666,1,0.9768821001052856,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",true,"ML rank","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. 200.0 mA passed the required safety checks. 200.0 mA was selected for the highest simulated yield among eligible candidates. Change DTL limit from 120.0 mA to 200.0 mA. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=120.0, recommended=200.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-02. Simulator objective_score is not production reliability or true optimality.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 200.0 mA had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-02",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","Feb 2026","CONTACT_RESISTANCE","CONTACT_RESISTANCE","ohm",5,10,5,100,1,0.9358984231948853,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 10.0 ohm passed the required safety checks. 10.0 ohm was selected for the highest simulated yield among eligible candidates. Change DTL limit from 5.0 ohm to 10.0 ohm. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=5.0, recommended=10.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-02. Simulator objective_score is not production reliability or true optimality.","10.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-02",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","Feb 2026","INTERCONNECT_RESISTANCE","INTERCONNECT_RESISTANCE","ohm",15,25,10,66.66666666666666,1,0.8171955347061157,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 25.0 ohm passed the required safety checks. 25.0 ohm was selected for the highest simulated yield among eligible candidates. Change DTL limit from 15.0 ohm to 25.0 ohm. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=15.0, recommended=25.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-02. Simulator objective_score is not production reliability or true optimality.","25.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-02",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","Feb 2026","ON_RESISTANCE","ON_RESISTANCE","ohm",25,50,25,100,1,0.9211827516555786,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",true,"ML rank","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. 50.0 ohm passed the required safety checks. 50.0 ohm was selected for the highest simulated yield among eligible candidates. Change DTL limit from 25.0 ohm to 50.0 ohm. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=25.0, recommended=50.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-02. Simulator objective_score is not production reliability or true optimality.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 50.0 ohm had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-02",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","Mar 2026","ir_drop","IR_DROP_MV","mV",25,55,30,120,1,0.8307693004608154,1,"core_gru_temporal_v1","core_gru_temporal_v1","RECOMMEND","max_simulated_yield_selected",true,"ML rank","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. 55.0 mV passed the required safety checks. 55.0 mV was selected for the highest simulated yield among eligible candidates. Change DTL limit from 25.0 mV to 55.0 mV. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=25.0, recommended=55.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-03. Simulator objective_score is not production reliability or true optimality.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 55.0 mV had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-03",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","Mar 2026","thermal","THERMAL_C","°C",60,92,32,53.333333333333336,1,0.9230093955993652,1,"core_gru_temporal_v1","core_gru_temporal_v1","RECOMMEND","max_simulated_yield_selected",true,"ML rank","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. 92.0 °C passed the required safety checks. 92.0 °C was selected for the highest simulated yield among eligible candidates. Change DTL limit from 60.0 °C to 92.0 °C. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=60.0, recommended=92.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-03. Simulator objective_score is not production reliability or true optimality.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 92.0 °C had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-03",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","Mar 2026","VMIN","VMIN","V",0.85,1,0.15000000000000002,17.647058823529417,0.7083333333333334,0.4554971754550934,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 1.0 V passed the required safety checks. 1.0 V was selected for the highest simulated yield among eligible candidates. Change DTL limit from 0.85 V to 1.0 V. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=0.85, recommended=1.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-03. Simulator objective_score is not production reliability or true optimality.","1.0 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.7083333333333334) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-03",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","Mar 2026","VMAX","VMAX","V",1.15,1.05,-0.09999999999999987,-8.695652173913032,0.2916666666666667,0.16783663630485535,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 1.05 V passed the required safety checks. 1.05 V was selected for the highest simulated yield among eligible candidates. Change DTL limit from 1.15 V to 1.05 V. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=1.15, recommended=1.05. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-03. Simulator objective_score is not production reliability or true optimality.","1.05 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.2916666666666667) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-03",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","Mar 2026","IDDQ","IDDQ","uA",50,100,50,100,0.9583333333333334,0.794297456741333,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 100.0 uA passed the required safety checks. 100.0 uA was selected for the highest simulated yield among eligible candidates. Change DTL limit from 50.0 uA to 100.0 uA. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=50.0, recommended=100.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-03. Simulator objective_score is not production reliability or true optimality.","100.0 uA was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.9583333333333334) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-03",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","Mar 2026","SUPPLY_CURRENT","SUPPLY_CURRENT","mA",120,200,80,66.66666666666666,1,1.0167534351348877,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",true,"ML rank","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. 200.0 mA passed the required safety checks. 200.0 mA was selected for the highest simulated yield among eligible candidates. Change DTL limit from 120.0 mA to 200.0 mA. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=120.0, recommended=200.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-03. Simulator objective_score is not production reliability or true optimality.","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 200.0 mA had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-03",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","Mar 2026","CONTACT_RESISTANCE","CONTACT_RESISTANCE","ohm",5,10,5,100,1,0.9719255566596985,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 10.0 ohm passed the required safety checks. 10.0 ohm was selected for the highest simulated yield among eligible candidates. Change DTL limit from 5.0 ohm to 10.0 ohm. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=5.0, recommended=10.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-03. Simulator objective_score is not production reliability or true optimality.","10.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-03",true,true
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","Mar 2026","INTERCONNECT_RESISTANCE","INTERCONNECT_RESISTANCE","ohm",15,25,10,66.66666666666666,0.9583333333333334,0.8818213939666748,1,"unified_parameter_gru_v1","unified_parameter_gru_v1","RECOMMEND","max_simulated_yield_selected",false,"not required","Highest simulated yield among eligible candidates.","Highest simulated yield among eligible candidates. 25.0 ohm passed the required safety checks. 25.0 ohm was selected for the highest simulated yield among eligible candidates. Change DTL limit from 15.0 ohm to 25.0 ohm. Recommended based on simulator-derived evidence. Decision=RECOMMEND. Current=15.0, recommended=25.0. Reason=max_simulated_yield_selected. Evidence origin=SIMULATOR_DERIVED_TEMPORAL_2026-03. Simulator objective_score is not production reliability or true optimality.","25.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.9583333333333334) (policy_reason='max_simulated_yield_selected').","PASS","SIMULATOR_DERIVED_TEMPORAL_2026-03",true,true
