"lot_category","lot_id","die_id","sequence_id","production_month","parameter","parameter_display","current_limit","recommended_limit","max_eligible_simulated_yield","ml_score","ml_rank","model_used","decision","why_selected","observed_n","observed_mean","observed_min","observed_max"
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","IDDQ","IDDQ",50,100,0.9583333333333334,0.7807084321975708,1,"unified_parameter_gru_v1","RECOMMEND","100.0 uA was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.9583333333333334) (policy_reason='max_simulated_yield_selected').",4,71.46885480246631,62.6449154404449,79.02429808776523
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","SUPPLY_CURRENT","SUPPLY_CURRENT",120,200,1,0.9768821001052856,1,"unified_parameter_gru_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 200.0 mA had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",4,132.16049094814724,127.0400994822382,138.0677642020078
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","CONTACT_RESISTANCE","CONTACT_RESISTANCE",5,10,1,0.9358984231948853,1,"unified_parameter_gru_v1","RECOMMEND","10.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').",4,7.058201885302937,6.408775139484384,7.57574433304843
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","INTERCONNECT_RESISTANCE","INTERCONNECT_RESISTANCE",15,25,1,0.8171955347061157,1,"unified_parameter_gru_v1","RECOMMEND","25.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').",4,19.148926594993746,17.361505173741424,20.485017087778136
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-02::DTL_NORM_001::DTL_NORM_001_D001","2026-02","ON_RESISTANCE","ON_RESISTANCE",25,50,1,0.9211827516555786,1,"unified_parameter_gru_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 50.0 ohm had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",4,30.454364732968724,28.69730404217284,33.42851320691594
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","ir_drop","IR_DROP_MV",25,55,1,0.8307693004608154,1,"core_gru_temporal_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 55.0 mV had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",200,25.34227552340664,22.61481719037366,28.0732255715239
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","thermal","THERMAL_C",60,92,1,0.9230093955993652,1,"core_gru_temporal_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 92.0 °C had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",200,56.58015216219597,53.22016531037712,61.02072704604117
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","VMIN","VMIN",0.85,1,0.7083333333333334,0.4554971754550934,1,"unified_parameter_gru_v1","RECOMMEND","1.0 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.7083333333333334) (policy_reason='max_simulated_yield_selected').",4,0.9277277008854918,0.9028286251306914,0.9506714843906716
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","VMAX","VMAX",1.15,1.05,0.2916666666666667,0.16783663630485535,1,"unified_parameter_gru_v1","RECOMMEND","1.05 V was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.2916666666666667) (policy_reason='max_simulated_yield_selected').",4,1.1098671575343326,1.0836336601371177,1.1400302730546
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","IDDQ","IDDQ",50,100,0.9583333333333334,0.794297456741333,1,"unified_parameter_gru_v1","RECOMMEND","100.0 uA was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.9583333333333334) (policy_reason='max_simulated_yield_selected').",4,66.21361831469844,58.62046944284226,73.23512591878043
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","SUPPLY_CURRENT","SUPPLY_CURRENT",120,200,1,1.0167534351348877,1,"unified_parameter_gru_v1","RECOMMEND","Candidates had equivalent simulated yield, so ML ranking was used as the tie-breaker. Several eligible candidates had the same maximum simulated yield. ML rank was used as the tie-breaker; 200.0 mA had the best ML ranking among the tied candidates (policy_reason='max_simulated_yield_selected').",4,120.58545902959987,117.70252225640678,123.70648073657031
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","CONTACT_RESISTANCE","CONTACT_RESISTANCE",5,10,1,0.9719255566596985,1,"unified_parameter_gru_v1","RECOMMEND","10.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').",4,5.605712837953929,4.955216816044754,6.332843672395124
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","INTERCONNECT_RESISTANCE","INTERCONNECT_RESISTANCE",15,25,0.9583333333333334,0.8818213939666748,1,"unified_parameter_gru_v1","RECOMMEND","25.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=0.9583333333333334) (policy_reason='max_simulated_yield_selected').",4,16.65497239883458,15.589237504518998,18.1104572670373
"NORMAL","DTL_NORM_001","DTL_NORM_001_D001","2026-03::DTL_NORM_001::DTL_NORM_001_D001","2026-03","ON_RESISTANCE","ON_RESISTANCE",25,50,1,0.9357576370239258,1,"unified_parameter_gru_v1","RECOMMEND","50.0 ohm was selected because it was the eligible candidate with the maximum simulated yield (simulated_yield=1.0) (policy_reason='max_simulated_yield_selected').",4,26.183450703465713,25.81887888637593,26.54302552857858
